wl;150625_080838;150625_080914;150625_080941;150625_081012;150625_081437;150625_081506;150625_081532;150625_081558;150625_081624;150625_081837;150625_081904;150625_081930;150625_081956;150625_082146;150625_082212;150625_082243;150625_082313;150625_082631;150625_082716;150625_082747;150625_082814;150625_083226;150625_083253;150625_083320;150625_083346;150625_083411;150625_083555;150625_083621;150625_083650;150625_083849;150625_083915;150625_083945;150625_084017
451.131640425673;0.00743588441540464;0.007380694971285309;0.007672256206698016;0.007511075867450616;0.013654411778475543;0.01613473551123836;0.016282018519781467;0.016209347351730755;0.01633713713816524;0.013846527244617164;0.013801246195990685;0.013860354256385085;0.013898963244872572;0.00946561212170448;0.009542185456847277;0.009522889798348057;0.00968240209696485;0.02038819637389344;0.020295328187144874;0.020057061460297402;0.02000563673512938;0.019217580281933315;0.019308494884538573;0.01909876968886811;0.019392424668943566;0.019402918296482;0.019208250564582932;0.019260164576475836;0.0193061419238507;0.019620813077089932;0.01927799636173303;0.019317102097985466;0.019413217848302102
451.862879103285;0.00757370169717814;0.007468452339265688;0.007676990939239235;0.007668911636623415;0.01376109017183673;0.016219542963248925;0.016144958249024986;0.01631152128686426;0.016374276794412106;0.013795497677375819;0.013796716394537636;0.013920809144255924;0.013946116584189261;0.009422819081466147;0.00957314015850212;0.009512182279555201;0.009728907180580818;0.020344341507219022;0.02024190824740234;0.02033182490379323;0.020123078890517617;0.019162437355569138;0.01924627496504814;0.019341296558957975;0.019251043100490858;0.019540700078727928;0.019287308092736204;0.019161175075696806;0.019317691661374987;0.019425305967029474;0.01936984103830213;0.01925053134870991;0.01950956263206103
452.593953565299;0.00727457590652886;0.007267302993469157;0.007428128981632686;0.007316750862294036;0.013390329334928964;0.01573071198427113;0.015858879815415342;0.01577526298604373;0.01596449213534916;0.013279780741387217;0.013343945600352469;0.013455132270678512;0.013452403931897183;0.009150539876583912;0.009206721938833595;0.009235885347343008;0.009217220982718351;0.01974411072145445;0.01950291759343618;0.01941760082065005;0.01937869446923218;0.018656195141488606;0.018446374120645505;0.01878143133042837;0.01845397880632397;0.01893187526312639;0.018865840646879836;0.018566568171751344;0.018700400317430046;0.018560906700044955;0.018669026762410692;0.018563223330635138;0.01884901674995549
453.324863740861;0.006998867826736295;0.007024014189041438;0.007202773733700873;0.0070352871454822715;0.012924480494350538;0.015339508181717369;0.01545718279390045;0.015271712097433278;0.015474628577119714;0.012951849571373722;0.013001418287680937;0.012960246525569876;0.013066399641543458;0.008828340719531404;0.008829669551277213;0.00894850926568692;0.008893716626810294;0.019295772657406184;0.018989772683443096;0.018737155831057225;0.01880217843347363;0.0182856524760416;0.018019995634278016;0.01821652989664012;0.0180172698262536;0.01831077361553566;0.01839260679243505;0.01825022844040406;0.018328054077968055;0.018145428829068725;0.017852007607479313;0.018178082284667208;0.018500519590784224
454.055609559116;0.007261205416532318;0.007090619395253288;0.007268556467327784;0.007316441653320553;0.013296646938707975;0.015492235573271323;0.01581688647953965;0.0155096421149316;0.015599951813665391;0.013196316595297028;0.013460260845900077;0.013406616583628024;0.013416288282804197;0.00901833953814367;0.009025118781785482;0.009181489021179068;0.009218802547470048;0.019748440611668912;0.019510022010541608;0.019303365848272292;0.019358435578436244;0.0187082249188381;0.018598343936056215;0.01850107656306908;0.018612189847288223;0.018452895536804632;0.018704038581662308;0.018555146410535843;0.018670793110518367;0.018547391731608538;0.01852555325791437;0.01838906550647849;0.01884413903731498
454.786190949212;0.007430777790998147;0.007221716781266186;0.007327222370614354;0.007414983559767717;0.0136374763697481;0.015636733868170997;0.01613513288552169;0.01590072708031375;0.01600350592416512;0.013462200700550743;0.013664542055256537;0.013739950360770423;0.013543788217673063;0.009222405314684516;0.009300793971763283;0.00932455257722067;0.009255925963965569;0.02006012744116985;0.01977040120258564;0.019801285249443645;0.01953147486775059;0.018912011767332683;0.01881646519053428;0.0187067437347537;0.01896012085700365;0.018783996853956653;0.019008697010696646;0.01884067599425639;0.018823873521625883;0.019101886485978693;0.019076263789133012;0.018792632556926366;0.019104577586816045
455.516607840295;0.007353070695175242;0.007324616906141675;0.007322941875633903;0.007303484871375581;0.013704628016559597;0.01557350247985906;0.015971099456887884;0.015930039385768393;0.015995406074576394;0.013545911938436328;0.01342437296324703;0.013603106553113777;0.01346330694470796;0.009222115322590287;0.00914937420688574;0.009168097343420016;0.009204804237290745;0.020167421567782572;0.0195204928792751;0.019686118653199504;0.019316106904048794;0.01868682616996045;0.018657200857940398;0.018755393610141887;0.01882284056788549;0.018800741382988935;0.01900299933442915;0.018941682503866623;0.018975384891343827;0.019140127092355904;0.01899200248835813;0.01884976123951969;0.019286798549086187
456.24686016151;0.007482877783621787;0.007513434779387065;0.007440826220296319;0.007458277031795284;0.013908534275928603;0.015949776970840216;0.016380911790095376;0.016236256326165772;0.016315662158720184;0.013925874528273293;0.013905485760714124;0.013823877935261459;0.01379944164093701;0.009443205474828473;0.009360909133642993;0.009379951410263716;0.009607443687241068;0.02073553974182397;0.020105448383362663;0.020055192914213264;0.020007700097891212;0.019196895117108384;0.0191245305224914;0.019218312717148783;0.01928104198736989;0.01943880030712717;0.01941072963435661;0.019475357136769324;0.019359002741289696;0.0193487287553572;0.019365857670745803;0.019296248665873896;0.019607779023777284
456.976947842005;0.007708163563453126;0.007628191528534028;0.007685100896658372;0.007630487341520053;0.014125488566969284;0.016581270876985743;0.016743755348956568;0.016725405623125023;0.016686415079685653;0.014159709061911078;0.01421426694594746;0.014054997352236797;0.014066313239759569;0.009548676741824885;0.009568079660241988;0.009687295406265091;0.009679511422133165;0.020941608846758535;0.020543508023112302;0.02046744743300637;0.02061790297907466;0.019521420823288164;0.019553694757421972;0.019537386723401818;0.019738811463648236;0.01988625906584787;0.01981954289877725;0.01990645502896024;0.019654109532857903;0.01979522206486321;0.01979263879534072;0.01968601733908848;0.019721548439534827
457.706870810925;0.007649005293931554;0.0075424205932488365;0.0076730702020598885;0.0075797017861519485;0.014057350094368783;0.016574697938424653;0.016512829646054765;0.016684874226553712;0.01660112304614789;0.014020810852538222;0.014035579604975503;0.013951125544527437;0.014034165000145205;0.009517039484685859;0.009441025765023288;0.009593278957257503;0.00954045251938511;0.020742073533933175;0.020274924523149468;0.020355677069025385;0.020461685033725203;0.019371683906386133;0.01921908307215689;0.019283442627414146;0.01974332544681978;0.019613845536448956;0.019679095836011535;0.01964022552171052;0.019333452326657615;0.01963045482837103;0.019734715490173648;0.019564589436936133;0.019391994639983638
